salesHistoryKey,neighborhood,street name,salesTypeDsc,sale amount,saleDate,Days between last sale,Previous saleDate,cumsum sale amount,margin sale amount,amount_pct_change
719618669,506051,1609 N FILLMORE ST,W-Will / R.O.S/L O H,0,2023-08-05 00:00:00+00:00,,,0.0,,
720371805,506051,1609 N GARFIELD ST,,2325000,2020-11-18 00:00:00+00:00,,,2325000.0,,
719617017,506051,1609 N JACKSON ST,,1700000,2024-03-15 00:00:00+00:00,,,1700000.0,,
719617013,506051,1609 N JACKSON ST,A-Correction Deed,0,2024-03-15 00:00:00+00:00,0.0,2024-03-15 00:00:00+00:00,1700000.0,-1700000.0,-100.00%
719352561,507037,1609 N STAFFORD ST,,925700,2019-09-23 00:00:00+00:00,,,925700.0,,
719352565,507037,1609 N STAFFORD ST,L-Land Sale,1061000,2020-11-24 00:00:00+00:00,428.0,2019-09-23 00:00:00+00:00,1986700.0,135300.0,14.62%
719348141,507038,1609 N UTAH ST,7-Partial Interest,0,2024-06-11 00:00:00+00:00,,,0.0,,
720079089,182112,1609 S BARTON ST 00026,2-Sale or Gift to Relative,0,2021-04-20 00:00:00+00:00,,,0.0,,
720134393,160018,1609 S HAYES ST 00001,,660000,2020-02-05 00:00:00+00:00,,,660000.0,,
720134413,160018,1609 S HAYES ST 00002,,675000,2020-11-19 00:00:00+00:00,,,675000.0,,
720099117,509077,1610 12th ST S,,660000,2023-11-30 00:00:00+00:00,,,660000.0,,
720103321,509077,1610 13th ST S,2-Sale or Gift to Relative,0,2021-09-20 00:00:00+00:00,,,0.0,,
720172385,511092,1610 23rd ST S,,675000,2019-05-14 00:00:00+00:00,,,675000.0,,
720172389,511092,1610 23rd ST S,G-New Construction,1730000,2020-11-09 00:00:00+00:00,545.0,2019-05-14 00:00:00+00:00,2405000.0,1055000.0,156.30%
719663673,506823,1610 KEY BLVD,W-Will / R.O.S/L O H,0,2022-05-08 00:00:00+00:00,,,0.0,,
